group3,median_rent_pre,median_rent_post,rent_change_abs,rent_change_pct,median_rent_burden_pre,median_rent_burden_post,rb_change_pp,median_income_pre,median_income_post,inc_change_abs,inc_change_pct,median_white_share_pre,median_white_share_post,white_change_pp
Top 10 OZ tracts,1134.5,1310.5,176,0.15513442044953724,0.4391321831341658,0.516406484,7.727430101989119,35693,44869.5,9176.5,0.2570952287563388,0.2523606022590062,0.1584510952444797,-9.390950701
Bottom 10 OZ tracts,1426.5,2007.5,581,0.4072905713284262,0.5298089591567852,0.5017728926194529,-2.803606654,52312.5,68473.5,16161,0.3089318996415771,0.31915168070415056,0.28524130339962134,-3.39103773
"Eligible, not designated",1317,1730,413,0.31359149582384205,0.5607793307920372,0.5317779565567177,-2.900137424,48022.5,67987.5,19965,0.4157426206465719,0.27282295626985303,0.1903334787234695,-8.248947755
