State,Low Income Communities (LICs)
Alabama,01081040902
Alabama,01081041100
Alabama,01081041300
Alabama,01081041400
Alabama,01081041600
Alabama,01081041800
Alabama,01081042006
Alabama,01081042101
Alabama,01081042102
Alabama,01083020101
Alabama,01083020102
Alabama,01083020201
Alabama,01083020202
Alabama,01083020300
Alabama,01083020401
Alabama,01083020402
Alabama,01083020500
Alabama,01083020600
Alabama,01083020700
Alabama,01083021000
Alabama,01085780800
Alabama,01085781000
Alabama,01085781100
Alabama,01085781200
Alabama,01087231400
Alabama,01087231500
Alabama,01087231601
Alabama,01087231602
Alabama,01087231603
Alabama,01087231700
Alabama,01087231800
Alabama,01087231900
Alabama,01087232000
Alabama,01087232100
Alabama,01087232200
Alabama,01087232300
Alabama,01089000201
Alabama,01089000202
Alabama,01089000301
Alabama,01089000302
Alabama,01089000403
Alabama,01089000501
Alabama,01089000502
Alabama,01089000503
Alabama,01089000601
Alabama,01089000602
Alabama,01089000701
Alabama,01089000702
Alabama,01089001000
Alabama,01089001200
Alabama,01089001301
Alabama,01089001302
Alabama,01089001402
Alabama,01089001500
Alabama,01089002100
Alabama,01089002200
Alabama,01089002300
Alabama,01089002400
Alabama,01089002501
Alabama,01089002502
Alabama,01089003000
Alabama,01089003100
Alabama,01089010302
Alabama,01089010401
Alabama,01089010502
Alabama,01089010622
Alabama,01089010902
Alabama,01089011400
Alabama,01091972900
Alabama,01091973000
Alabama,01091973100
Alabama,01091973200
Alabama,01091973300
Alabama,01093964000
Alabama,01093964100
Alabama,01093964300
Alabama,01093964400
Alabama,01093964600
Alabama,01095030100
Alabama,01095030500
Alabama,01095030600
Alabama,01095030702
Alabama,01095030801
Alabama,01095030802
Alabama,01095030903
Alabama,01095030904
Alabama,01095031000
Alabama,01095031100
Alabama,01097000200
Alabama,01097000401
Alabama,01097000402
Alabama,01097000500
Alabama,01097000600
Alabama,01097000701
Alabama,01097000702
Alabama,01097000800
Alabama,01097000901
Alabama,01097000903
Alabama,01097001001
Alabama,01097001002
Alabama,01097001100
Alabama,01097001200
Alabama,01097001302
Alabama,01097001400
Alabama,01097001501
Alabama,01097001502
Alabama,01097001800
Alabama,01097001901
Alabama,01097001902
Alabama,01097002100
Alabama,01097002200
Alabama,01097002301
Alabama,01097002302
Alabama,01097002400
Alabama,01097002600
Alabama,01097002700
Alabama,01097002800
Alabama,01097002900
Alabama,01097003203
Alabama,01097003204
Alabama,01097003205
Alabama,01097003402
Alabama,01097003404
Alabama,01097003406
Alabama,01097003501
Alabama,01097003602
Alabama,01097003607
Alabama,01097003901
Alabama,01097003902
Alabama,01097004000
Alabama,01097004100
Alabama,01097004800
Alabama,01097004900
Alabama,01097005000
Alabama,01097005100
Alabama,01097005200
Alabama,01097005300
Alabama,01097005500
Alabama,01097005800
Alabama,01097006102
Alabama,01097006103
Alabama,01097006403
Alabama,01097006701
Alabama,01097006702
Alabama,01097006901
Alabama,01097007102
Alabama,01097007201
Alabama,01097007300
Alabama,01097007400
Alabama,01097007500
Alabama,01097007600
Alabama,01097007700
Alabama,01099075600
Alabama,01099075700
Alabama,01099075800
Alabama,01099075900
Alabama,01099076000
Alabama,01099076100
Alabama,01099076200
Alabama,01101000100
Alabama,01101000200
Alabama,01101000300
Alabama,01101000400
Alabama,01101000500
Alabama,01101000600
Alabama,01101000700
Alabama,01101001000
Alabama,01101001100
Alabama,01101001200
Alabama,01101001500
Alabama,01101001600
Alabama,01101001700
Alabama,01101002100
Alabama,01101002201
Alabama,01101002202
Alabama,01101002300
Alabama,01101002400
Alabama,01101002500
Alabama,01101002900
Alabama,01101003000
Alabama,01101003100
Alabama,01101003200
Alabama,01101003302
Alabama,01101005102
Alabama,01101005302
Alabama,01101005402
Alabama,01101005403
Alabama,01101005410
Alabama,01101005603
Alabama,01101005606
Alabama,01101005700
Alabama,01101005800
Alabama,01101005902
Alabama,01101006000
Alabama,01101006100
Alabama,01103000100
Alabama,01103000600
Alabama,01103000700
Alabama,01103000800
Alabama,01103000900
Alabama,01103005103
Alabama,01103005106
Alabama,01103005109
Alabama,01103005701
Alabama,01105686800
Alabama,01105687000
Alabama,01105687100
Alabama,01107050100
Alabama,01107050300
Alabama,01107050400
Alabama,01109188700
Alabama,01109188900
Alabama,01109189000
Alabama,01109189100
Alabama,01109189300
Alabama,01111000100
Alabama,01111000300
Alabama,01111000400
Alabama,01111000500
Alabama,01111000600
Alabama,01113030200
Alabama,01113030300
Alabama,01113030600
Alabama,01113030700
Alabama,01113030800
Alabama,01113030901
Alabama,01113031100
Alabama,01115040105
Alabama,01115040203
Alabama,01115040300
