year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2018,"3",Brooklyn,"088200","3088200",East Flatbush-Remsen Village,BK1704,BK17,"36047088200",,,5
2018,"3",Brooklyn,"088400","3088400",East Flatbush-Remsen Village,BK1704,BK17,"36047088400",,,4
2018,"3",Brooklyn,"089200","3089200",East Flatbush-Remsen Village,BK1704,BK17,"36047089200",,,3
2018,"3",Brooklyn,"090000","3090000",Brownsville,BK1602,BK16,"36047090000",,,3
2018,"3",Brooklyn,"033500","3033500",Crown Heights (South),BK0901,BK09,"36047033500",,,6
2018,"3",Brooklyn,"033702","3033702",Crown Heights (South),BK0901,BK09,"36047033702",,,6
2018,"3",Brooklyn,"087401","3087401",Prospect Lefferts Gardens-Wingate,BK0902,BK09,"36047087401",,,1
2018,"3",Brooklyn,"080800","3080800",Prospect Lefferts Gardens-Wingate,BK0902,BK09,"36047080800",,,4
2019,"1",Manhattan,"010000","1010000",East Midtown-Turtle Bay,MN0604,MN06,"36061010000",,,4
2019,"1",Manhattan,"010801","1010801",East Midtown-Turtle Bay,MN0604,MN06,"36061010801",,,4
2019,"1",Manhattan,"010802","1010802",East Midtown-Turtle Bay,MN0604,MN06,"36061010802",,,3
2019,"1",Manhattan,"010803","1010803",East Midtown-Turtle Bay,MN0604,MN06,"36061010803",,,4
2019,"1",Manhattan,"011202","1011202",Midtown-Times Square,MN0502,MN05,"36061011202",,,4
2019,"1",Manhattan,"011203","1011203",East Midtown-Turtle Bay,MN0604,MN06,"36061011203",,,4
2019,"1",Manhattan,"011402","1011402",Upper East Side-Carnegie Hill,MN0802,MN08,"36061011402",,,4
2019,"1",Manhattan,"011800","1011800",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061011800",,,4
2019,"1",Manhattan,"012000","1012000",Upper East Side-Carnegie Hill,MN0802,MN08,"36061012000",,,4
2019,"1",Manhattan,"012200","1012200",Upper East Side-Carnegie Hill,MN0802,MN08,"36061012200",,,4
2019,"1",Manhattan,"012601","1012601",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061012601",,,4
2019,"1",Manhattan,"012602","1012602",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061012602",,,4
2019,"1",Manhattan,"012800","1012800",Upper East Side-Carnegie Hill,MN0802,MN08,"36061012800",,,4
2019,"1",Manhattan,"011401","1011401",Upper East Side-Carnegie Hill,MN0802,MN08,"36061011401",,,4
2019,"1",Manhattan,"011600","1011600",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061011600",,,4
2019,"1",Manhattan,"012400","1012400",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061012400",,,4
2019,"1",Manhattan,"010601","1010601",East Midtown-Turtle Bay,MN0604,MN06,"36061010601",,,3
2019,"1",Manhattan,"008603","1008603",East Midtown-Turtle Bay,MN0604,MN06,"36061008603",,,3
2019,"1",Manhattan,"009800","1009800",East Midtown-Turtle Bay,MN0604,MN06,"36061009800",,,4
2019,"1",Manhattan,"023803","1023803",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061023803",,,3
