year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2018,"2",Bronx,"021301","2021301",University Heights (South)-Morris Heights,BX0501,BX05,"36005021301",,,3
2018,"2",Bronx,"021100","2021100",Highbridge,BX0402,BX04,"36005021100",,,3
2018,"2",Bronx,"016900","2016900",Claremont Village-Claremont (East),BX0302,BX03,"36005016900",,,3
2018,"2",Bronx,"016700","2016700",Claremont Village-Claremont (East),BX0302,BX03,"36005016700",,,4
2018,"2",Bronx,"017100","2017100",Claremont Park,BX0492,BX04,"36005017100",,,6
2018,"2",Bronx,"014702","2014702",Claremont Village-Claremont (East),BX0302,BX03,"36005014702",,,4
2023,"4",Queens,"083700","4083700",Queensboro Hill,QN0706,QN07,"36081083700",,,1
2023,"4",Queens,"079701","4079701",Flushing-Willets Point,QN0707,QN07,"36081079701",,,1
2023,"4",Queens,"079702","4079702",Flushing-Willets Point,QN0707,QN07,"36081079702",,,1
2023,"4",Queens,"084500","4084500",East Flushing,QN0705,QN07,"36081084500",,,1
2023,"4",Queens,"084901","4084901",Flushing-Willets Point,QN0707,QN07,"36081084901",,,1
2023,"4",Queens,"084902","4084902",Flushing-Willets Point,QN0707,QN07,"36081084902",,,1
2023,"4",Queens,"085700","4085700",Flushing-Willets Point,QN0707,QN07,"36081085700",,,3
2023,"4",Queens,"085900","4085900",Flushing-Willets Point,QN0707,QN07,"36081085900",,,3
2023,"4",Queens,"086500","4086500",Flushing-Willets Point,QN0707,QN07,"36081086500",,,1
2023,"4",Queens,"087100","4087100",Flushing-Willets Point,QN0707,QN07,"36081087100",,,1
2023,"4",Queens,"116301","4116301",Murray Hill-Broadway Flushing,QN0704,QN07,"36081116301",,,3
2023,"4",Queens,"118700","4118700",East Flushing,QN0705,QN07,"36081118700",,,5
2023,"4",Queens,"119900","4119900",East Flushing,QN0705,QN07,"36081119900",,,5
