CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post,group,is_top_aff
"920","3",Brooklyn,"092000","3092000",E,Brownsville,BK1602,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047092000","4316",6735.48134526000,2556235.59748000000,1358,329,0,1029,"0.2422680412371134",,
"1132","3",Brooklyn,"113200","3113200",E,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047113200","4305",7985.22611320000,2109074.62015999993,962,459,0,503,"0.47713097713097713",,
"152","3",Brooklyn,"015200","3015200",I,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047015200","4310",8539.15056279000,2884735.33576999977,1024,0,0,1024,"0",,
"154","3",Brooklyn,"015400","3015400",I,Dyker Beach Park,BK1091,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047015400","4310",14627.50899800000,9989043.51253999956,0,0,0,0,NA,,
"749","4",Queens,"074900","4074900",I,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081074900","4406",7975.57777835000,3859997.43216999993,617,0,0,617,"0",,
"769.01","4",Queens,"076901","4076901",I,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081076901","4406",7605.66186454000,1938261.56625999999,2530,0,0,2530,"0",,
"1.04","4",Queens,"000104","4000104",I,Long Island City-Hunters Point,QN0201,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081000104","4402",17523.01177280000,5979100.38889999967,22,0,0,22,"0",,
"7.01","4",Queens,"000701","4000701",I,Long Island City-Hunters Point,QN0201,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081000701","4402",6610.83731321000,2589700.71290000016,1885,0,0,1885,"0",,
"220.01","4",Queens,"022001","4022001",I,Jamaica Hills-Briarwood,QN0805,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081022001","4408",9535.54897748000,4212133.17667999957,2845,0,0,2845,"0",,
"502.02","3",Brooklyn,"050202","3050202",I,Windsor Terrace-South Slope,BK0701,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047050202","4307",5366.55876993000,1451426.49876000010,1140,0,0,1140,"0",,
"199.03","4",Queens,"019903","4019903",I,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081019903","4402",10841.04283880000,7100061.00260000024,0,0,0,0,NA,,
"13","1",Manhattan,"001300","1001300",I,Financial District-Battery Park City,MN0101,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061001300","4121",8814.33311938000,3413001.29803999979,3215,209,0,3006,"0.06500777604976672",,
"319","1",Manhattan,"031900","1031900",I,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061031900","4121",6113.16285040000,1077113.22463000007,0,0,0,0,NA,,
"874.01","3",Brooklyn,"087401","3087401",E,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047087401","4309",5380.17812024000,1405622.97774000000,1712,0,1,1712,"0",,
"808","3",Brooklyn,"080800","3080800",I,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047080800","4309",11997.36589460000,3464189.36355999997,783,0,0,783,"0",,
"872","3",Brooklyn,"087200","3087200",E,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047087200","4317",5610.20003329000,1584415.19729000004,1186,0,0,1186,"0",,
"27","1",Manhattan,"002700","1002700",I,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002700","4103",3687.98008860000,640585.72915000003,785,0,0,785,"0",,
"29.02","1",Manhattan,"002902","1002902",I,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002902","4103",5078.56623703000,1327293.83816000004,2547,0,0,2547,"0",,
"76","1",Manhattan,"007600","1007600",I,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061007600","4165",5717.63343390000,1873518.02017999999,1626,223,0,1403,"0.13714637146371464",,
"383.02","4",Queens,"038302","4038302",I,Flushing Meadows-Corona Park,QN8191,QN81,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),"36081038302","4404",61510.76829520000,55207873.35909999907,0,0,0,0,NA,,
"11","3",Brooklyn,"001100","3001100",I,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047001100","4302",5757.93971233000,1812055.16320000007,972,0,1,972,"0",,
"13","3",Brooklyn,"001300","3001300",I,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047001300","4302",7698.81179760000,3166491.90891999984,1423,671,1,752,"0.4715390021082221",,
"1070.01","3",Brooklyn,"107001","3107001",I,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047107001","4305",15194.31430500000,13115506.02830000035,2065,0,0,2065,"0",,
"596","3",Brooklyn,"059600","3059600",E,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,BK1503,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047059600","4315",6850.72991954000,1863775.98206000007,1219,540,0,679,"0.44298605414273995",,
"600","3",Brooklyn,"060000","3060000",I,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,BK1503,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047060000","4315",9650.34547655000,4731651.85962000024,2757,11,0,2746,"0.003989844033369605",,
"678","3",Brooklyn,"067800","3067800",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047067800","4318",5416.44736459000,1788241.58753999998,1028,0,0,1028,"0",,
"692","3",Brooklyn,"069200","3069200",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047069200","4318",6487.98052898000,1953742.20628999989,926,0,0,926,"0",,
"199.01","4",Queens,"019901","4019901",I,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081019901","4402",10432.16423930000,3440455.55538999988,221,0,0,221,"0",,
