"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36005013100","Census Tract 131; Bronx County; New York","1177","194",
"1400000US36005013200","Census Tract 132; Bronx County; New York","2066","336",
"1400000US36005013300","Census Tract 133; Bronx County; New York","766","168",
"1400000US36005013500","Census Tract 135; Bronx County; New York","1010","148",
"1400000US36005013800","Census Tract 138; Bronx County; New York","1742","243",
"1400000US36005014100","Census Tract 141; Bronx County; New York","1378","122",
"1400000US36005014300","Census Tract 143; Bronx County; New York","850","318",
"1400000US36005014400","Census Tract 144; Bronx County; New York","440","312",
"1400000US36005014500","Census Tract 145; Bronx County; New York","1108","135",
"1400000US36005014701","Census Tract 147.01; Bronx County; New York","956","322",
"1400000US36005014702","Census Tract 147.02; Bronx County; New York","473","176",
"1400000US36005014900","Census Tract 149; Bronx County; New York","1425","197",
"1400000US36005015100","Census Tract 151; Bronx County; New York","1291","159",
"1400000US36005015200","Census Tract 152; Bronx County; New York","1973","178",
"1400000US36005015300","Census Tract 153; Bronx County; New York","1327","266",
"1400000US36005015500","Census Tract 155; Bronx County; New York","1090","144",
"1400000US36005015700","Census Tract 157; Bronx County; New York","1410","169",
"1400000US36005015800","Census Tract 158; Bronx County; New York","1920","359",
"1400000US36005015900","Census Tract 159; Bronx County; New York","832","361",
"1400000US36005016000","Census Tract 160; Bronx County; New York","2174","152",
"1400000US36005016100","Census Tract 161; Bronx County; New York","1146","366",
"1400000US36005016200","Census Tract 162; Bronx County; New York","2098","335",
"1400000US36005016300","Census Tract 163; Bronx County; New York","-","**",
"1400000US36005016400","Census Tract 164; Bronx County; New York","1845","290",
"1400000US36005016500","Census Tract 165; Bronx County; New York","1667","157",
"1400000US36005016600","Census Tract 166; Bronx County; New York","1992","194",
"1400000US36005016700","Census Tract 167; Bronx County; New York","1331","63",
"1400000US36005016900","Census Tract 169; Bronx County; New York","1327","89",
"1400000US36005017100","Census Tract 171; Bronx County; New York","-","**",
"1400000US36005017300","Census Tract 173; Bronx County; New York","1307","169",
"1400000US36005017500","Census Tract 175; Bronx County; New York","997","619",
"1400000US36005017701","Census Tract 177.01; Bronx County; New York","1545","223",
"1400000US36005017702","Census Tract 177.02; Bronx County; New York","1325","143",
"1400000US36005017901","Census Tract 179.01; Bronx County; New York","1633","86",
"1400000US36005017902","Census Tract 179.02; Bronx County; New York","1639","114",
"1400000US36005018101","Census Tract 181.01; Bronx County; New York","1588","295",
"1400000US36005018102","Census Tract 181.02; Bronx County; New York","1249","180",
"1400000US36005018301","Census Tract 183.01; Bronx County; New York","1421","182",
"1400000US36005018302","Census Tract 183.02; Bronx County; New York","1778","224",
"1400000US36005018400","Census Tract 184; Bronx County; New York","1829","169",
"1400000US36005018501","Census Tract 185.01; Bronx County; New York","1160","185",
"1400000US36005018502","Census Tract 185.02; Bronx County; New York","1307","107",
"1400000US36005018900","Census Tract 189; Bronx County; New York","1455","143",
"1400000US36005019300","Census Tract 193; Bronx County; New York","1141","196",
"1400000US36005019400","Census Tract 194; Bronx County; New York","1960","245",
"1400000US36005019500","Census Tract 195; Bronx County; New York","1387","67",
"1400000US36005019700","Census Tract 197; Bronx County; New York","1503","117",
"1400000US36005019900","Census Tract 199; Bronx County; New York","1369","80",
"1400000US36005020000","Census Tract 200; Bronx County; New York","1516","126",
"1400000US36005020100","Census Tract 201; Bronx County; New York","1496","147",
