CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID
"323","3",Brooklyn,"032300","3032300",E,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032300"
"326","3",Brooklyn,"032600","3032600",E,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047032600"
"329","3",Brooklyn,"032900","3032900",E,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032900"
"331","3",Brooklyn,"033100","3033100",E,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033100"
"333","3",Brooklyn,"033300","3033300",E,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033300"
"336","3",Brooklyn,"033600","3033600",E,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047033600"
"337.01","3",Brooklyn,"033701","3033701",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047033701"
"339","3",Brooklyn,"033900","3033900",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047033900"
"340","3",Brooklyn,"034000","3034000",E,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047034000"
"341","3",Brooklyn,"034100","3034100",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034100"
"342","3",Brooklyn,"034200","3034200",E,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047034200"
"343","3",Brooklyn,"034300","3034300",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034300"
"345","3",Brooklyn,"034500","3034500",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034500"
"347","3",Brooklyn,"034700","3034700",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034700"
"348","3",Brooklyn,"034800","3034800",I,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047034800"
"349.01","3",Brooklyn,"034901","3034901",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034901"
"349.02","3",Brooklyn,"034902","3034902",E,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047034902"
"350","3",Brooklyn,"035000","3035000",E,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047035000"
"351.01","3",Brooklyn,"035101","3035101",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047035101"
